600238,海南椰岛,监管工作函,就公司下属公司相关事项提出监管要求,"上市公司,董事,监事,高级管理人员,中介机构及其相关人员",2024-04-12 20:50:02
688234,天岳先进,监管工作函,关于山东天岳先进科技股份有限公司相关事项的监管工作函,"上市公司,中介机构及其相关人员",2024-04-12 19:10:01
603665,康隆达,监管工作函,关于浙江康隆达特种防护科技股份有限公司业绩预告更正事项的监管工作函,"上市公司,董事,监事,高级管理人员,中介机构及其相关人员",2024-04-12 19:00:02
600153,建发股份,监管工作函,就公司会计核算不规范及内部控制不健全有关事项明确监管要求,"上市公司,董事,监事,高级管理人员",2024-04-12 18:40:02
600965,福成股份,监管工作函,就年报披露事项明确监管要求。,"上市公司,中介机构及其相关人员",2024-04-12 18:20:02
603353,和顺石油,监管警示,关于对湖南和顺石油股份有限公司董事吴立宇予以监管警示的决定,董监高-董事,2024-04-12 17:10:03
600556,天下秀,监管警示,关于对天下秀数字科技（集团）股份有限公司及有关责任人予以监管警示的决定,"上市公司,董秘,财务总监",2024-04-12 17:10:03
603220,中贝通信,监管工作函,就公司签订合同相关信息披露事项明确监管要求,"上市公司,董事,监事,高级管理人员",2024-04-12 08:50:02
603019,中科曙光,监管工作函,就公司董事亲属短线交易事项明确监管要求,"上市公司,董事,监事,高级管理人员",2024-04-11 21:20:02
603233,大参林,监管警示,关于对大参林医药集团股份有限公司及有关责任人予以监管警示的决定,"上市公司,董监高-董事长,董监高-总经理,董秘",2024-04-08 17:10:02
600261,阳光照明,监管警示,关于对浙江阳光照明电器集团股份有限公司时任独立董事薛跃予以监管警示的决定,独立董事,2024-04-08 17:10:02
600576,祥源文旅,监管工作函,关于浙江祥源文旅股份有限公司相关事项的监管工作函,"上市公司,董事,监事,高级管理人员,控股股东及实际控制人",2024-04-03 19:20:01
600343,航天动力,公开谴责,关于对陕西航天动力高科技股份有限公司及有关责任人予以纪律处分的决定,"上市公司,董监高-董事长,董监高-副总经理",2024-04-03 17:10:02
600343,航天动力,公开认定一定期限内不适合担任上市公司董事、监事和高级管理人员或者境外发行人信息披露境内代表,关于对陕西航天动力高科技股份有限公司及有关责任人予以纪律处分的决定,董监高-总经理,2024-04-03 17:10:02
603663,三祥新材,监管工作函,就公司近期股价波动情况明确监管要求,"上市公司,董事,监事,高级管理人员,控股股东及实际控制人",2024-04-03 15:10:01
600360,华微电子,监管工作函,就公司董事长暂时无法正常履职有关事项明确监管要求,"上市公司,董事,监事,高级管理人员,控股股东及实际控制人",2024-04-02 18:50:01
603967,中创物流,监管工作函,就公司拟将部分募投项目延期有关事项明确监管要求,"上市公司,董事,监事,高级管理人员,中介机构及其相关人员",2024-04-01 19:20:01
600763,通策医疗,监管工作函,针对公司对联营企业财务资助事项提出监管要求。,"上市公司,控股股东及实际控制人",2024-04-01 17:30:01
688385,复旦微电,监管工作函,关于上海复旦微电子集团股份有限公司的监管工作函,"上市公司,董事,监事,高级管理人员,一般股东,中介机构及其相关人员",2024-03-29 19:30:01
688180,君实生物,监管工作函,关于上海君实生物医药科技股份有限公司的监管工作函,"上市公司,董事,中介机构及其相关人员",2024-03-29 18:10:04
603363,傲农生物,监管警示,关于对福建傲农生物科技集团股份有限公司、控股股东漳州傲农投资有限公司及实际控制人吴有林予以监管警示的决定,"上市公司,董监高-董事长,控股股东",2024-03-29 18:10:01
600609,金杯汽车,通报批评,关于对金杯汽车股份有限公司及有关责任人予以通报批评的决定,"上市公司,董监高-董事长,董监高-总经理,财务总监,董秘",2024-03-29 17:10:01
601992,金隅集团,监管工作函,关于北京金隅集团股份有限公司延期披露年度报告相关事项的监管工作函,"上市公司,董事,监事,高级管理人员",2024-03-29 10:00:02
688565,力源科技,监管工作函,对公司实际控制人、董事长被取保候审相关事项发出监管工作函,上市公司,2024-03-28 09:00:02
688396,华润微,监管工作函,关于华润微电子有限公司的监管工作函,"上市公司,董事,监事,高级管理人员,控股股东及实际控制人,中介机构及其相关人员",2024-03-26 19:20:01
600734,ST实达,公开谴责,关于对福建实达集团股份有限公司有关责任人予以公开谴责的决定,董监高-董事,2024-03-25 17:10:04
600152,维科技术,通报批评,关于对维科技术股份有限公司及有关责任人予以通报批评的决定,"上市公司,董监高-董事长,董监高-总经理,董秘",2024-03-25 17:10:02
603038,华立股份,监管工作函,关于对东莞市华立实业股份有限公司对外投资事项的监管工作函,"上市公司,董事,监事,高级管理人员,控股股东及实际控制人",2024-03-22 22:10:01
600306,*ST商城,监管警示,关于对沈阳商业城股份有限公司及有关责任人予以监管警示的决定,"上市公司,独立董事",2024-03-22 18:10:01
688400,凌云光,监管警示,关于对凌云光技术股份有限公司及有关责任人予以监管警示的决定,"上市公司,董监高-董事长,董秘",2024-03-22 18:00:02
688151,华强科技,监管警示,关于对湖北华强科技股份有限公司及有关责任人予以监管警示的决定,"上市公司,董监高-董事长,财务总监,董秘",2024-03-22 18:00:02
603555,ST贵人,通报批评,关于对贵人鸟股份有限公司及有关责任人予以通报批评的决定,"上市公司,董监高-董事长,财务总监,董秘",2024-03-22 17:50:01
603555,ST贵人,通报批评,关于对贵人鸟股份有限公司控股股东黑龙江泰富金谷网络科技有限公司予以通报批评的决定,控股股东,2024-03-22 17:40:01
600117,*ST西钢,监管警示,关于对西宁特殊钢股份有限公司及有关责任人予以监管警示的决定,"上市公司,财务总监",2024-03-21 18:00:01
688086,退市紫晶,公开谴责,关于对广东紫晶信息存储技术股份有限公司有关责任人予以公开谴责的决定,"董监高-董事长,董监高-董事",2024-03-21 17:30:04
